Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Descripcio_tipus_vehicle,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
2024S000491,4,Les Corts,19,les Corts,144601,Diagonal,,Dilluns,2024,1,Gener,29,5,Nit,,Turisme,M4 COMPETITION M XDRIV,BMW,blau,B,46,427575.967,4582577.493,2.13260722,41.38962170
2024S000492,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,302000,Sant Gervasi,25,Dilluns,2024,1,Gener,29,6,Matí,,Motocicleta,SYMPHONY 125 SR E5,SYM,,B,7,427764.110,4584733.208,2.13460002,41.40905428
2024S000492,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,302000,Sant Gervasi,25,Dilluns,2024,1,Gener,29,6,Matí,,Turisme,CC,VOLKSWAGEN,,B,26,427764.110,4584733.208,2.13460002,41.40905428
2024S000493,5,Sarrià-Sant Gervasi,23,Sarrià,701268,Dalt (Llobregat),K65,Dilluns,2024,1,Gener,29,8,Matí,,Motocicleta,CB650RA,HONDA,negre,A,3,425910.222,4583445.835,2.11257911,41.39729068
2024S000493,5,Sarrià-Sant Gervasi,23,Sarrià,701268,Dalt (Llobregat),K65,Dilluns,2024,1,Gener,29,8,Matí,,Turisme,ID.3 PRO 150 KW,VOLKSWAGEN,blanc,B,39,425910.222,4583445.835,2.11257911,41.39729068
2024S000494,9,Sant Andreu,60,Sant Andreu,701326,Fabra i Puig,67,Diumenge,2024,1,Gener,28,22,Nit,Desobeir el senyal del semàfor,Turisme,TOURAN,VOLKSWAGEN,blau,,,431997.806,4587022.073,2.18499205,41.43003890
2024S000494,9,Sant Andreu,60,Sant Andreu,701326,Fabra i Puig,67,Diumenge,2024,1,Gener,28,22,Nit,Desobeir el senyal del semàfor,Turisme,TOURAN,VOLKSWAGEN,blau,B,3,431997.806,4587022.073,2.18499205,41.43003890
2024S000495,9,Sant Andreu,60,Sant Andreu,339101,Torras i Bages,,Dilluns,2024,1,Gener,29,11,Matí,,Autobús articulat,7900,VOLVO,vermell,,,432518.566,4587864.026,2.19113010,41.43766604
2024S000495,9,Sant Andreu,60,Sant Andreu,339101,Torras i Bages,,Dilluns,2024,1,Gener,29,11,Matí,,Autobús articulat,7900,VOLVO,vermell,D,29,432518.566,4587864.026,2.19113010,41.43766604
2024S000495,9,Sant Andreu,60,Sant Andreu,339101,Torras i Bages,,Dilluns,2024,1,Gener,29,11,Matí,,Turisme,,TOYOTA,,,,432518.566,4587864.026,2.19113010,41.43766604
2024S000496,3,Sants-Montjuïc,12,la Marina del Prat Vermell,000180,A Zona Franca,97-103,Dilluns,2024,1,Gener,29,15,Tarda,,Turisme,,,,,,428543.088,4577414.397,2.14478248,41.34320593
2024S000497,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,028000,Augusta,,Dilluns,2024,1,Gener,29,8,Matí,,Tot terreny,X4 XDRIVE20D,BMW,,B,29,429042.337,4583824.885,2.14999845,41.40098728
2024S000497,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,028000,Augusta,,Dilluns,2024,1,Gener,29,8,Matí,,Veh. mobilitat personal amb motor,,,blanc,,,429042.337,4583824.885,2.14999845,41.40098728
2024S000498,3,Sants-Montjuïc,15,Hostafrancs,094809,Creu Coberta,,Dilluns,2024,1,Gener,29,14,Tarda,,Motocicleta,LIBERTY 125,PIAGGIO,blau,B,27,428391.910,4580975.304,2.14255515,41.37526445
2024S000498,3,Sants-Montjuïc,15,Hostafrancs,094809,Creu Coberta,,Dilluns,2024,1,Gener,29,14,Tarda,,Taxi,TOYOTA COROLLA,TOYOTA,negre/groc,B,19,428391.910,4580975.304,2.14255515,41.37526445
2024S000499,6,Gràcia,31,la Vila de Gràcia,123408,Lesseps,11,Dilluns,2024,1,Gener,29,13,Matí,,Autobús articulat,CITARO G,MERCEDES-BENZ,vermell,,,429130.744,4584495.616,2.15097738,41.40703611
2024S000499,6,Gràcia,31,la Vila de Gràcia,123408,Lesseps,11,Dilluns,2024,1,Gener,29,13,Matí,,Autobús articulat,CITARO G,MERCEDES-BENZ,vermell,D,9,429130.744,4584495.616,2.15097738,41.40703611
2024S000499,6,Gràcia,31,la Vila de Gràcia,123408,Lesseps,11,Dilluns,2024,1,Gener,29,13,Matí,,Taxi,TOYOTA COROLLA,TOYOTA,negre/groc,B,1,429130.744,4584495.616,2.15097738,41.40703611
2024S000500,9,Sant Andreu,60,Sant Andreu,701326,Fabra i Puig,88-92,Dilluns,2024,1,Gener,29,12,Matí,,Autobús,TERIS.9,VECTIA,vermell,,,432054.984,4587048.621,2.18567333,41.43028285
2024S000500,9,Sant Andreu,60,Sant Andreu,701326,Fabra i Puig,88-92,Dilluns,2024,1,Gener,29,12,Matí,,Autobús,TERIS.9,VECTIA,vermell,D,34,432054.984,4587048.621,2.18567333,41.43028285
2024S000501,2,Eixample,8,l'Antiga Esquerra de l'Eixample,191204,Mallorca,,Dimarts,2024,1,Gener,30,17,Tarda,,Turisme,CAPTUR,RENAULT,blanc,B,29,429645.087,4582587.714,2.15735231,41.38989751
2024S000502,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,344101,Gràcia,50,Dilluns,2024,1,Gener,29,17,Tarda,,Autobús articulat,NG313F/GNC,MAN,vermell,,,428957.405,4583232.065,2.14905209,41.39564046
2024S000502,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,344101,Gràcia,50,Dilluns,2024,1,Gener,29,17,Tarda,,Autobús articulat,NG313F/GNC,MAN,vermell,D,11,428957.405,4583232.065,2.14905209,41.39564046
2024S000502,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,344101,Gràcia,50,Dilluns,2024,1,Gener,29,17,Tarda,,Turisme,T-ROC,VOLKSWAGEN,blanc,B,22,428957.405,4583232.065,2.14905209,41.39564046
2024S000503,10,Sant Martí,64,el Camp de l'Arpa del Clot,310008,Sant Quintí,,Dilluns,2024,1,Gener,29,17,Tarda,,Autobús,0 530,MERCEDES-BENZ,vermell,,,431373.137,4585218.563,2.17772122,41.41374214
2024S000503,10,Sant Martí,64,el Camp de l'Arpa del Clot,310008,Sant Quintí,,Dilluns,2024,1,Gener,29,17,Tarda,,Autobús,0 530,MERCEDES-BENZ,vermell,B,37,431373.137,4585218.563,2.17772122,41.41374214
2024S000504,6,Gràcia,28,Vallcarca i els Penitents,158107,Vallcarca,82,Dilluns,2024,1,Gener,29,17,Tarda,,Motocicleta,SH 150,HONDA,blanc,A,15,428771.364,4584915.839,2.14662864,41.41078911
2024S000504,6,Gràcia,28,Vallcarca i els Penitents,158107,Vallcarca,82,Dilluns,2024,1,Gener,29,17,Tarda,,Motocicleta,FZ6-S,YAMAHA,negre,A,1,428771.364,4584915.839,2.14662864,41.41078911
2024S000505,7,Horta-Guinardó,37,el Carmel,275304,Ramon Rocafull,95-97,Dilluns,2024,1,Gener,29,15,Tarda,,"Camió rígid <= 3,5 tones",,,,,,429491.527,4586148.601,2.15510067,41.42195566
2024S000505,7,Horta-Guinardó,37,el Carmel,275304,Ramon Rocafull,95-97,Dilluns,2024,1,Gener,29,15,Tarda,,Furgoneta,TRANSPORTER,VOLKSWAGEN,blau,B,11,429491.527,4586148.601,2.15510067,41.42195566
2024S000506,9,Sant Andreu,63,Navas,086108,Concepción Arenal,,Dilluns,2024,1,Gener,29,18,Tarda,,Turisme,ZAFIRA,OPEL,gris,,,431900.340,4586103.955,2.18392912,41.42176145
2024S000506,9,Sant Andreu,63,Navas,086108,Concepción Arenal,,Dilluns,2024,1,Gener,29,18,Tarda,,Turisme,ZAFIRA,OPEL,gris,B,2,431900.340,4586103.955,2.18392912,41.42176145
2024S000507,3,Sants-Montjuïc,11,el Poble Sec,701266,Litoral (Llobregat),K122,Dilluns,2024,1,Gener,29,18,Tarda,,Furgoneta,TRANSIT COURIER,FORD,blanc,B,31,430774.468,4579826.643,2.17117512,41.36512737
2024S000507,3,Sants-Montjuïc,11,el Poble Sec,701266,Litoral (Llobregat),K122,Dilluns,2024,1,Gener,29,18,Tarda,,Taxi,TOYOTA COROLLA,TOYOTA,negre/groc,B,4,430774.468,4579826.643,2.17117512,41.36512737
2024S000507,3,Sants-Montjuïc,11,el Poble Sec,701266,Litoral (Llobregat),K122,Dilluns,2024,1,Gener,29,18,Tarda,,Turisme,EXEO,SEAT,blanc,B,29,430774.468,4579826.643,2.17117512,41.36512737
2024S000507,3,Sants-Montjuïc,11,el Poble Sec,701266,Litoral (Llobregat),K122,Dilluns,2024,1,Gener,29,18,Tarda,,Turisme,C4 CACTUS PURETECH 82,CITROEN,gris,B,28,430774.468,4579826.643,2.17117512,41.36512737
2024S000508,8,Nou Barris,44,Vilapicina i la Torre Llobeta,024304,Arnau d'Oms,,Dilluns,2024,1,Gener,29,17,Tarda,,Motocicleta,,,,,,431357.406,4586967.113,2.17733444,41.42948939
2024S000508,8,Nou Barris,44,Vilapicina i la Torre Llobeta,024304,Arnau d'Oms,,Dilluns,2024,1,Gener,29,17,Tarda,,Motocicleta,SH 125,HONDA,negre,,,431357.406,4586967.113,2.17733444,41.42948939
2024S000508,8,Nou Barris,44,Vilapicina i la Torre Llobeta,024304,Arnau d'Oms,,Dilluns,2024,1,Gener,29,17,Tarda,,Motocicleta,SH 125,HONDA,negre,B,23,431357.406,4586967.113,2.17733444,41.42948939
2024S000509,2,Eixample,10,Sant Antoni,349207,Universitat,,Dimarts,2024,1,Gener,30,7,Matí,,Autobús articulat,SB3 ARTICULADO,SUNSUNDEGUI,blanc,D,30,430121.355,4582099.833,2.16310473,41.38554485
